id	document	label
446	타차량 적용성 확대 위한 데모 추진 검토.	0
447	MDPS 장치 진동내구 성능 평가	0
448	LKAS 실차 성능 평가 및 신뢰성 확보	0
449	LKAS 관련 실차(전기버스) 성능 평가	0
450	LKAS 관련 보완 및 신뢰성 확보	0
451	LKAS용 볼-너트 기어박스 상용화를 위한 최적 설계	2
452	LKAS 최적화 볼-너트 기어박스 조향 성능 평가	2
453	볼-너트 기어박스 실차(전기버스) 검증 및 최종 튜닝/평가	2
454	고유 성능 실차(전기버스) 검증 및 최종 튜닝/평가	2
455	LKAS 최적화 볼-너트 기어박스 상용화를 위한 상단 어댑터 설계/개발	2
456	기개발된 MDPS(파워팩)의 사업성 제고를 위한 다차종(전기버스, 트럭, 버스) 적용 가능한 볼-너트 기어박스 상단 어댑터(MDPS 연결부) 설계 및 시제품 개발	2
457	다차종(전기버스, 트럭, 버스) 전동식 조향시스템 적용 가능성 평가	2
458	최종 개발 전동식 조향 시스템 내구 신뢰성 평가	2
459	정전 내구시험, 역전 내구시험	2
460	TAS 신뢰성 평가 완료 및 시험 차량 장착 성능 2차 평가	1
461	TAS 신뢰성 평가 	1
462	TAS 단품 신뢰성 평가	1
463	LKAS System Level 신뢰성 평가	1
464	시험 차량 장착 성능 2차 평가 	1
465	전기적 사양 검증	1
466	차량 조립성 검증	1
467	LKAS 연동 검증	1
468	LKAS 로직, HILS, Fail Safe등 System 연동 검증	1
469	실차 환경에서 발생될 수 있는 노이즈 분석 및 평가	1
470	내구 수명에 대한 신뢰성 확보	1
471	고장분석 – 고장에 대한 분석 및 향상 대책 수립 	1
472	전방 충돌경보 알고리즘 최적화 및 LKAS ECU 성능 평가	3
473	전방 충돌경보를 위한 물체, 차량, 보행자 인지 성능 향상 및 실차 성능 평가 	3
474	전방 물체, 차량, 보행자 인지 알고리즘 최적화 및 성능 향상 	3
475	전방 물체, 차량, 보행자 인지 알고리즘 개발 및 실차 성능 평가 	3
476	LKAS 제어부(ECU) 신뢰성 시험 및 시스템 보완	3
477	LKAS 제어부 공인인증기관을 통한 신뢰성 시험 진행	3
478	낙하실험 진동시험 고저온 작동한계 시험 내광성 시험	3
479	신뢰성 시험 결과에 따른 시스템 보완	3
480	ESD 및 전자파(EMC) 적합 시험	3
481	공인인증기관을 통한 LKAS 제어부(ECU) 제어성능 최종평가 	3
482	LKAS 정량적 항목 기준 최종 평가	3
483	LKAS 작동 시, 최대 이탈 허용 거리 1.1m 이하 만족	3
484	LKAS 작동 시, 발생 허용 최대 횡가속도 0.3g 이하 만족 	3
485	중대형 상용차 조향 시스템용 구동모터 및 인버터 개발	6
486	양산성을 고려한 구동모터 개발	6
487	양산성을 고려한 모터 설계 	6
488	양산성을 고려한 모터 장착성 및 인터페이스 설계	6
489	양산성을 고려한 일체형 ECU 하우징 강건화	6
490	제작 공법을 고려한 양산 부품 최적화	6
491	양산 사양 확정 및 도면화	6
492	소량 양산용 가공품 및 금형품 제작	6
493	소량 양산성 고려한 지그/치구류 개발	6
494	실차 최종품 평가용 인버터 개선 	6
495	실차 평가 결과 보완사항에 대한 H/W & S/W 개선	6
496	개선 인버터 아트웍 및 부품실장	6
497	개선 인버터 케이스 및 하네스 제작	6
498	실차 최종품 구동모터 특성/성능 평가	6
499	실차 적용 최종품 모터 출력 성능 검증방안 수립	6
500	실차 내구 및 내환경 평가기반 구축 및 평가 	6
501	중대형 상용차 LKAS와 조향 보조력 통합 제어로직 최적화 및 운전자 수용성 평가	5
502	중대형 상용차용 MDPS 조향 보조력 제어 로직 및 LKAS 제어 로직 튜닝/최적화	5
503	중대형 상용차용 MDPS 조향 보조력 제어 로직 튜닝/최적화 	5
504	속도별(저속/중속/고속) 조향 보조력 제어 로직 튜닝/최적화 	5
505	주관평가 및 계측을 통한 조향 보조력 제어 로직 튜닝/최적화	5
506	주행 상황별(직직, 선회, 주차 등) 제어 로직 튜닝/최적화	5
507	Fail-Safe 로직과의 통합 및 튜닝/최적화 (HILS 환경)	5
508	중대형 상용차용 LKAS, Lane Centering 제어 로직 튜닝/최적화 	5
509	속도별 주행 상황별 LKAS, Lane Centering 제어 로직 튜닝/최적화	5
510	횡풍 조향 안정성 및 구배 도로 보상 로직 튜닝/최적화	5
511	주관평가 및 계측을 통한 LKAS 제어로직 튜닝/최적화	5
512	중대형 상용차용 MDPS 조향 성능 및 LKAS 로직 성능 정량적 목표 달성 평가 	5
513	MDPS 조향 성능 관련 정량적 목표 항목 평가 (외부 전문가 참관/입회)	5
514	정차 시 조향 Effort 측정 평가	5
515	조작력, 복원력 등 기본 조향 성능에 대한 정량적 계측 시험 평가	5
516	LKAS 제어 로직 관련 정량적 목표 항목 평가	5
517	횡방향 이탈거리 및 횡가속도 측정 평가	5
518	국제 규격 (ISO 11270) 기준 LKAS 정량적 계측 시험 평가	5
519	중대형 상용차용 MDPS 조향 성능 및 LKAS 로직 운전자 수용성 평가	5
520	MDPS 조향 성능 및 LKAS 제어 성능 운전자 수용성 평가	5
521	전문 운전자 및 일반 운전자 포함한 다수 운전자의 수용성 평가	5
522	LKAS 작동에 따른 시스템의 운전 개입 정도 및 시점 등 적절성 평가  (경고음, 제어 시점, 제어 입력 크기, 조향감 등 평가)	5
523	중대형 상용차용 MDPS ECU 최종품 내환경, 전자파 신뢰성 평가 	5
524	MDPS용 ECU 최종품 내환경, 전자파 신뢰성 평가	5
525	내환경(고온, 저온 방치 시험), 전자파 신뢰성 평가	5
526	중대형 상용차용 MDPS, LKAS 최종품 타차량 적용성 검토 및 FCW 통합 시험	5
527	개발 MDPS 및 LKAS 최종품의 중대형 트럭(트랙터) 장착 및 적용 가능성 평가	5
528	KATECH 보유 트랙터에 LKAS 및 MDPS 개발 최종품 장착 및 제어기 튜닝 	5
529	트랙터 장착 시의 LKAS 및 MDPS 제어 성능 평가 	5
530	전방 카메라센서 적용 LKAS+FCW 통합(복합) 성능 시험 평가	5
531	LKAS용 카메라센서의 차량/보행자/Cyclist 인지 및 충돌경보(FCW) 성능 평가	5
532	LKAS+FCW 복합 상황 시나리오 개발 및 통합(복합) 성능 시험 평가	5
533	전동식 조향시스템 최종 시제품 Max. 전륜조향 추력평가	8
534	개선된 최종시제품에 대한 조향력, 응답성 등 조향성능평가	8
535	Max. 전륜조향 추력 공인시험기관 입회시험진행	8
536	전동식 조향시스템 조향 Powerpack 최종 시제품 Max. Torque 평가 	8
537	개선된 최종시제품에 대한 조향각, 조향각속도, 조향토크 등 조향 Powerpack 성능 분석 	8
538	Max. Torque 공인시험기관 입회시험진행	8
539	전동식 조향시스템 개발 모듈 실차조향성능(조작력/복원력)공인인증평가	8
540	자동차 안전기준에 따른 조향 조종력, 조향복원력에 대한 공인시험기관 입회시험 	8
541	전동식 조향시스템 장착차량 LKAS 성능구현 시험지원	8
542	로직검증 평가지원(LKAS, Lane Centering, 횡풍 조향안전성)	8
543	HILS을 이용한 상용차용 MDPS 모듈 성능평가	9
544	HILS신뢰성 평가	9
545	실차 비교 HILS 시스템 조향 반력시스템 성능평가 	9
546	실차시험과 HILS 시스템에서 산출된 타이어저항(반력) 비교를 통한 정학도 분석	9
547	Truck Sim 모델에서 산출된 타이어 저항값 보정 및 HILS 신뢰성 평가	9
548	HILS를 이용한 전동식 조향시스템(MDPS 모듈) 성능평가 	9
549	HILS를 이용한 TAS Sensor 성능평가 	9
550	HILS 시스템을 이용한 전동식 조향시스템(MDPS) 성능분석	9
551	성능평가를 위한 도로 및 주행 등의 시험 모델링 개발 	9
552	도로 주행 시 차선 이탈 거리에 따른 LKA(Lane Keeping Assist) Out Put Signal 에 의한 조향시스템(MDPS) 성능분석	9
553	긴급 조향 회피 보조 로직 개발	4
554	긴급 조향 회피 보조 발동 시점 도출	4
555	LPTB > LPTS 인 경우(고속), LPTS 시점부터 운전자의 회피조향이 있을 시 조향 보조	4
556	LPTB (Last Point to Brake) : 브레이크 입력을 통한 추돌 회피 가능한 마지막 지점	4
557	LPTS (Last Point to Steer) : 조향 입력을 통한 추돌 회피 가능한 마지막 지점	4
558	장애물 추정기 설계	4
559	긴급 조향 회피를 위한 경로 생성 로직 개발	4
560	카메라 센서를 통해 측정되는 장애물 정보를 통해 장애물의 상태를 추정하는 추정기 설계	4
561	긴급 조향 회피를 위한 경로 생성 로직 개발	4
562	추정된 장애물을 히피하기 위한 경로 생성	4
563	경로 생성시 횡가속도/ 곡률 반지름 제한을 통해 차량의 동역학적 가능성 고려	4
564	상용차용 전동식 조향 시스템 Fail-safe 제어 로직 성능 평가	7
565	Fail-safe기반 TAS 센서 고장허용 제어 로직 보완 및 성능 평가	7
566	시험차량 장착 TAS 센서의 일시적 고장의 검출, 복구 로직 보완 및 성능평가	7
567	시험차량 장착 TAS 센서의 영구적 고장의 검출, 복구 로직 보완 및 성능평가	7
567	시험차량 장착 TAS 센서 고장의 경고 로직 보완 및 성능평가 	7
567	Fail-safe기반 모터 고장허용 제어 로직 보완 및 성능 평가	7
567	시험차량 장착 모터의 일시적 고장의 검출, 복구 로직 보완 및 성능평가	7
567	시험차량 장착 모터의 영구적 고장의 검출, 복구 로직 보완 및 성능평가	7
567	시험차량 장착 모터 고장의 경고 로직 보완 및 성능평가	7
